"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00129905","YOUNG AMERICA, IN US","1992-09-09",,,,"0.00","0.0","0.0","71","53","63",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-10",,,,"1.51","0.0","0.0","82","53","56",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-11",,,,"0.00","0.0","0.0","68","46","46",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-12",,,,"0.00","0.0","0.0","70","46","48",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-13",,,,"0.00","0.0","0.0","73","48","49",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-14",,,,"0.00","0.0","0.0","82","49","65",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-15",,,,"0.00","0.0","0.0","85","63","64",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-16",,,,"0.00","0.0","0.0","82","63","64",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-17",,,,"0.00","0.0","0.0","84","64","70",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-18",,,,"0.00","0.0","0.0","77","42","45",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-19",,,,"0.00","0.0","0.0","68","43","44",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-20",,,,"1.23","0.0","0.0","71","44","69",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-21",,,,"2.02","0.0","0.0","74","59","61",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-22",,,,"2.02","0.0","0.0","69","36","38",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-23",,,,"0.00","0.0","0.0","60","38","40",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-24",,,,"0.00","0.0","0.0","69","40","44",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-25",,,,"0.00","0.0","0.0","76","44","60",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-26",,,,"0.80","0.0","0.0","67","52","53",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-27",,,,"0.80","0.0","0.0","71","45","50",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-28",,,,"0.00","0.0","0.0","67","33","34",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-29",,,,"0.00","0.0","0.0","61","33","38",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-09-30",,,,"0.00","0.0","0.0","67","38","41",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-01",,,,"0.00","0.0","0.0","67","38","41",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-02",,,,"0.00","0.0","0.0","72","41","50",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-03",,,,"0.00","0.0","0.0","75","50","54",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-04",,,,"0.00","0.0","0.0","79","50","53",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-05",,,,"0.00","0.0","0.0","68","37","37",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-06",,,,"0.00","0.0","0.0","65","33","33",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-07",,,,"0.00","0.0","0.0","70","33","42",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-08",,,,"0.00","0.0","0.0","72","42","55",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-09",,,,"0.00","0.0","0.0","65","49","49",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-10",,,,"0.00","0.0","0.0","55","42","45",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-11",,,,"0.11","0.0","0.0","67","42","46",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-12",,,,"0.00","0.0","0.0","62","40","45",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-13",,,,"0.00","0.0","0.0","67","35","35",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-14",,,,"0.00","0.0","0.0","64","35","63",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-15",,,,"0.13","0.0","0.0","81","58","59",,"    1",,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-16",,,,"1.28","0.0","0.0","66","51","51",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-17",,,,"0.00","0.0","0.0","51","29","30",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-18",,,,"0.00","0.0","0.0","50","30","39",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-19",,,,"0.00","0.0","0.0","49","23","23",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-20",,,,"0.06","0.0","0.0","46","23","34",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-21",,,,"0.00","0.0","0.0","53","34","42",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-22",,,,"0.00","0.0","0.0","61","34","38",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-23",,,,"0.00","0.0","0.0","73","38","52",,,,,,
"USC00129905","YOUNG AMERICA, IN US","1992-10-24",,,,"0.00","0.0","0.0","76","52","53",,,,,,
